"","ID","site","location","landscape","replicate","bbspecies","bborgan","kingdom","phylum","order","family","genus","species","plant.species","Abundance","binom.abund","native_exotic","pollination_mode","Flowering_months_duration","start_flowering","growth_form_category","plant_height_m","reference","inflorescence","structural_blossom_class","symmetry","nectar","pollen","oil","sugar.concentration","growth_form_numeric","structural_blossom_numeric","symmetry_numeric"
"1","16_BEUC_pL","BEUC","BE","U","C","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.998650940010149,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"2","30_ZHRE_pL","ZHRE","ZH","R","E","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.998189466957772,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"3","09_ZHRE_pL","ZHRE","ZH","R","E","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.997872902241521,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"4","27_ZHRF_pL","ZHRF","ZH","R","F","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.997472711823787,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"5","11_2_BERD_pL","BERD","BE","R","D","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.997429897579501,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"6","26_ZHRF_pB","ZHRF","ZH","R","F","B.pascuorum","B","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.997205703857002,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"7","17_BERD_pL","BERD","BE","R","D","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.996855450001655,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"8","03_2_BERD_lL","BERD","BE","R","D","B.lapidarius","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.996805111821086,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"9","23_BSRD_lL","BSRD","BS","R","D","B.lapidarius","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.99677498242289,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"10","08_ZHRF_pL","ZHRF","ZH","R","F","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.996617785615925,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"11","35_BSRD_pB","BSRD","BS","R","D","B.pascuorum","B","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.996329845384976,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"12","08_2_BERD_pL","BERD","BE","R","D","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.996230715287517,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"13","31_BEUA_pL","BEUA","BE","U","A","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.996147634499415,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"14","32_BSRD_lL","BSRD","BS","R","D","B.lapidarius","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.996079587324982,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"15","37_BSRD_pB","BSRD","BS","R","D","B.pascuorum","B","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.995947826352891,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"16","28_ZHRE_pL","ZHRE","ZH","R","E","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.995814242887041,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"17","34_BSRD_pL","BSRD","BS","R","D","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.995649368605401,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"18","15_BSRD_lB","BSRD","BS","R","D","B.lapidarius","B","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.995640705261697,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
"19","02_2_BERD_pL","BERD","BE","R","D","B.pascuorum","L","Viridiplantae","Streptophyta","Fabales","Fabaceae","Trifolium","pratense","Trifolium pratense",0.995533304796114,1,"N","biotic",6,5,"herb",1,NA,"1","flag","sigomorph",1,1,0,45.81712329,1,1,1
