plant.species,Family,Genus,Sp2,native_exotic,pollination_mode,Flowering_months_duration,start_flowering,growth_form_category,plant_height_m,reference,inflorescence,structural_blossom_class,symmetry,nectar,pollen,oil,sugar.concentration,pollen.flower
Achillea filipendulina,Asteraceae,Achillea,filipendulina,E,biotic,3,7,herb,1.9,,1,dish_bowl,actinomorph,1,1,0,34.62,NA
Achillea millefolium,Asteraceae,Achillea,millefolium,N,biotic,5,6,herb,1.2,,1,dish_bowl,actinomorph,1,1,0,NA,NA
Aconitum kusnezoffii,Ranunculaceae,Aconitum,kusnezoffii,E,biotic,3,7,herb,1,flora of china,1,dish_bowl,actinomorph,1,1,0,NA,NA
Aesculus parviflora,Hippocastanaceae,Aesculus,parviflora,E,biotic,2,7,tree,4,,1,flag,sigomorph,1,1,0,NA,NA
Agastache pallida,Lamiaceae,Agastache,pallida,E,biotic,3,7,herb,1,stauden-ratgeber.de,1,tube,actinomorph,1,1,0,NA,NA
Agastache rugosa,Lamiaceae,Agastache,rugosa,E,biotic,2,6,herb,0.5,baumschule-horstmann.de,1,tube,actinomorph,1,1,0,49.16666667,NA
Ailanthus altissima,Simaroubaceae,Ailanthus,altissima,E,biotic,2,6,tree,30,,1,dish_bowl,actinomorph,1,1,0,NA,NA
Allium ampeloprasum,Amaryllidaceae,Allium,ampeloprasum,N,biotic,2,5,herb,0.5,,1,dish_bowl,actinomorph,1,1,0,NA,NA
Allium carinatum,Amaryllidaceae,Allium,carinatum,N,biotic,2,7,herb,0.6,,1,dish_bowl,actinomorph,1,1,0,NA,NA
Allium cepa,Amaryllidaceae,Allium,cepa,E,biotic,2,6,herb,0.6,,1,dish_bowl,actinomorph,1,1,0,57.32705882,NA
Allium cernuum,Amaryllidaceae,Allium,cernuum,E,biotic,2,7,herb,0.4,,1,dish_bowl,actinomorph,1,1,0,NA,NA
Allium flavum,Amaryllidaceae,Allium,flavum,E,biotic,2,7,herb,0.4,gaissmayer.de,1,dish_bowl,actinomorph,1,1,0,NA,NA
Allium garganicum,Amaryllidaceae,Allium,garganicum,E,biotic,1 (?),7,herb,0.4,"Brullo, S., Pavone, P., Salmeri, C., & Terrasi, M. C. (2009). Allium garganicum (Alliaceae), a new species from Apulia (SE Italy). Plant Biosystems-An International Journal Dealing with all Aspects of Plant Biology, 143(sup1), S78-S84.",1,dish_bowl,actinomorph,1,1,0,NA,NA
Allium schoenoprasum,Amaryllidaceae,Allium,schoenoprasum,N,biotic,4,5,herb,0.5,,1,dish_bowl,actinomorph,1,1,0,NA,NA
Allium sp.,Amaryllidaceae,Allium,sp.,NA,biotic,NA,NA,herb,NA,,NA,dish_bowl,actinomorph,1,1,0,NA,NA
