ID,Number,Species,Date,x,y,City,Site,Rural_Urban,Habitat,Intertegular_distance,Glossa,Prementum,Proboscis_length,proboscis_ratio,fore_wing_length,fore_wing_ratio,corbicula_length,corbicula_ratio
01_ZHUB_p,1,B.p,08.07.16,681340,247725,ZŸrich,ZH-B,ZH-Urban,urban,2.82,5.8,2.37,8.17,2.9,9.19,3.26,2.93,1.04
02_ZHUB_p,2,B.p,08.07.16,681340,247725,ZŸrich,ZH-B,ZH-Urban,urban,2.19,4.03,2.23,6.26,2.86,9.89,4.52,3.26,1.49
03_ZHUB_p,3,B.p,08.07.16,681340,247725,ZŸrich,ZH-B,ZH-Urban,urban,3.44,5.02,2.69,7.71,2.24,11,3.2,3.35,0.97
04_ZHUB_p,4,B.p,08.07.16,681340,247725,ZŸrich,ZH-B,ZH-Urban,urban,2.61,4.39,2.24,6.63,2.54,9.03,3.46,2.89,1.11
05_ZHUB_p,5,B.p,08.07.16,681340,247725,ZŸrich,ZH-B,ZH-Urban,urban,2.87,5.96,2.42,8.38,2.92,9.44,3.29,3.2,1.11
06_ZHUB_p,6,B.p,08.07.16,681340,247725,ZŸrich,ZH-B,ZH-Urban,urban,3.48,7.39,2.93,10.32,2.97,12,3.45,3.9,1.12
07_ZHUB_p,7,B.p,08.07.16,681340,247725,ZŸrich,ZH-B,ZH-Urban,urban,2.98,5.16,2.37,7.53,2.53,9.58,3.21,2.47,0.83
08_ZHUB_p,8,B.p,08.07.16,681340,247725,ZŸrich,ZH-B,ZH-Urban,urban,3.25,4.54,2.62,7.16,2.2,10.36,3.19,3.18,0.98
09_ZHUB_p,9,B.p,08.07.16,681340,247725,ZŸrich,ZH-B,ZH-Urban,urban,3.1,6.37,2.52,8.89,2.87,10.14,3.27,3.11,1
10_ZHUB_p,10,B.p,08.07.16,681340,247725,ZŸrich,ZH-B,ZH-Urban,urban,3.26,6.92,2.71,9.63,2.95,10.47,3.21,3.59,1.1
11_ZHUB_p,11,B.p,08.07.16,681340,247725,ZŸrich,ZH-B,ZH-Urban,urban,3.29,6.5,2.62,9.12,2.77,10.48,3.19,3.57,1.09
12_ZHUB_p,12,B.p,08.07.16,681340,247725,ZŸrich,ZH-B,ZH-Urban,urban,4.14,7.27,3,10.27,2.48,12,2.9,3.97,0.96
