"","nbsp.w","FRic.w","FEve.w","FDiv.w"
"01_1_BERD_p",2,NA,NA,NA
"01_2_BERD_p",2,NA,NA,NA
"01_BEUA_p",3,2.1276695819168,0.328994546981489,0.934402870851728
"01_BEUB_p",3,0.358952722050702,0.451632735267022,0.3291533353125
"01_BEUC_p",5,1.9947207401904,0.700910949627875,0.911530095119286
"01_BSRD_p",3,0.566025515485339,0.183038199826839,0.987677215232459
"01_BSRE_p",4,1.09079500298321,0.694501907383743,0.896916210483577
"01_BSRF_p",1,NA,NA,NA
"01_BSUA_p",3,0.0043401559457858,0.017028606297177,0.991208261536821
"01_BSUB_p",4,1.03884945040286,0.0672581141362298,0.449996337100428
"01_BSUC_p",8,3.92256979243799,0.506497631593342,0.685251075653986
"01_ZHRD_p",5,2.8498693438458,0.507067409646697,0.883982962370131
"01_ZHRE_p",9,1.79637395149283,0.53290664453639,0.923979776825813
"01_ZHRF_p",2,NA,NA,NA
"01_ZHUA_p",3,0.0305544218319706,0.516731667060617,0.982167039997773
"01_ZHUB_p",9,2.70843586610817,0.471826199430865,0.829670163220859
"01_ZHUC_p",2,NA,NA,NA
"02_1_BERD_p",1,NA,NA,NA
"02_2_BERD_p",1,NA,NA,NA
"02_BEUA_p",3,2.1276695819168,0.941919881364247,0.46423289420482
"02_BEUB_p",7,5.99456932388774,0.53456777901026,0.932093136019192
"02_BEUC_p",2,NA,NA,NA
"02_BSRD_p",2,NA,NA,NA
"02_BSRE_p",1,NA,NA,NA
"02_BSUA_p",1,NA,NA,NA
"02_BSUB_p",8,3.09692644945961,0.491411549183492,0.45849608270484
"02_BSUC_p",11,5.20840473345764,0.51644236062084,0.872319938050689
"02_ZHRD_p",6,2.14451773371942,0.517931021726828,0.770175122950641
"02_ZHRE_p",4,0.0205430655220012,0.0479605345596845,0.996539947708361
"02_ZHRF_p",3,0.0043401559457858,0.0907435924390314,0.956281720415469
"02_ZHUA_p",4,1.03884945040286,0.494280419634504,0.991234897909
"02_ZHUB_p",1,NA,NA,NA
"02_ZHUC_p",2,NA,NA,NA
"03_1_BERD_p",3,0.0043401559457858,0.0193363036719825,0.985526865869729
"03_2_BERD_p",1,NA,NA,NA
"03_BEUA_p",5,3.09692644945961,0.608034718190234,0.826139241024621
"03_BEUB_p",11,3.80630939100013,0.609878573469697,0.752627532748057
"03_BEUC_p",5,0.765898161845758,0.425851916169228,0.894990800510719
"03_BSRD_p",3,0.0305544218319706,0.466955330722185,0.979391858281375
"03_BSRE_p",1,NA,NA,NA
"03_BSRF_p",4,0.544101398159486,0.459935634885127,0.966388264455755
"03_BSUA_p",2,NA,NA,NA
"03_BSUB_p",6,2.66222082439021,0.51885034443244,0.797192975554194
"03_BSUC_p",10,4.90020424816546,0.407446254410883,0.752076951892243
"03_ZHRD_p",2,NA,NA,NA
"03_ZHRE_p",5,1.09079500298321,0.567700963599378,0.88082025313912
"03_ZHRF_p",3,0.0108288279336079,0.248572989018639,0.98452611683697
"03_ZHUA_p",4,2.8498693438458,0.0452569594032002,0.620678672884622
"03_ZHUB_p",7,1.38665289584379,0.298228943539894,0.906270366304508
"03_ZHUC_p",2,NA,NA,NA
"04_1_BERD_p",1,NA,NA,NA
"04_2_BERD_p",2,NA,NA,NA
"04_BEUA_p",5,3.3888575835885,0.233894457521622,0.985751033603671
"04_BEUB_p",10,4.80352854215927,0.615356080679573,0.534529316912626
"04_BEUC_p",8,3.563111872363,0.538277169115799,0.685426697105449
"04_BSRD_p",2,NA,NA,NA
"04_BSRE_p",2,NA,NA,NA
"04_BSRF_p",5,1.63529445403337,0.458640902800377,0.875015811268477
"04_BSUA_p",2,NA,NA,NA
"04_BSUB_p",3,1.346261588307,0.601108142492688,0.723984869918657
"04_BSUC_p",9,4.44039118422171,0.439806169455067,0.727007024598805
"04_ZHRD_p",5,2.31862888213489,0.42936744171405,0.901422076308533
"04_ZHRE_p",1,NA,NA,NA
"04_ZHRF_p",10,3.62558973705926,0.454883219261225,0.90939651702837
"04_ZHUA_p",5,0.0241526748332039,0.335538187817125,0.909946910725705
"04_ZHUB_p",6,2.62459344237736,0.466285501211989,0.966042758920358
"04_ZHUC_p",5,2.17128924240161,0.467012455437957,0.983984921680596
"05_1_BERD_p",1,NA,NA,NA
"05_2_BERD_p",1,NA,NA,NA
"05_BEUB_p",12,7.64921863146206,0.688112170878673,0.902418425633417
"05_BEUC_p",1,NA,NA,NA
"05_BSRD_p",2,NA,NA,NA
"05_BSRE_p",1,NA,NA,NA
"05_BSRF_p",2,NA,NA,NA
"05_BSUA_p",3,0.179044326581312,0.444450126507302,0.982448390326706
"05_BSUB_p",3,1.11948863215671,0.935565796114775,0.932570680896431
"05_BSUC_p",4,2.10284839746462,0.872220237525128,0.779362618206713
"05_ZHRD_p",8,1.76388105375231,0.385168880768432,0.931346165134048
"05_ZHRE_p",2,NA,NA,NA
"05_ZHRF_p",1,NA,NA,NA
"05_ZHUA_p",8,0.723231364966443,0.432777494974797,0.965553885795243
"05_ZHUB_p",1,NA,NA,NA
"05_ZHUC_p",2,NA,NA,NA
"06_1_BERD_p",1,NA,NA,NA
"06_2_BERD_p",1,NA,NA,NA
"06_BEUA_p",5,3.40477696079035,0.699813998156289,0.872291021150462
"06_BEUB_p",9,2.8158469059582,0.679103005715328,0.922538751339888
"06_BEUC_p",4,3.1756806287493,0.440936688660187,0.981764378966012
"06_BSRD_p",1,NA,NA,NA
"06_BSRE_p",1,NA,NA,NA
"06_BSRF_p",2,NA,NA,NA
"06_BSUA_p",2,NA,NA,NA
"06_BSUB_p",6,3.89375642570471,0.374526580426607,0.932883694393239
"06_BSUC_p",8,2.55203335517434,0.529284665371519,0.980123324397431
"06_ZHRD_p",3,0.338793953430365,0.0675442273892646,0.759906421965464
"06_ZHRE_p",1,NA,NA,NA
"06_ZHRF_p",1,NA,NA,NA
"06_ZHUA_p",7,0.984726056911311,0.277417361422712,0.630262287684504
"06_ZHUB_p",9,2.95607069340428,0.749249251815632,0.925360891473918
"06_ZHUC_p",3,0.236810657976795,0.0192237751922839,0.990303718897827
"07_1_BERD_p",1,NA,NA,NA
"07_2_BERD_p",1,NA,NA,NA
"07_BEUA_p",5,4.4929828421139,0.617549869278118,0.938635113378786
"07_BEUB_p",4,0.544101398159486,0.0723994259904696,0.464466860586051
"07_BEUC_p",2,NA,NA,NA
"07_BSRD_p",4,0.229429714450895,0.608489866055037,0.969249709411452
"07_BSRE_p",3,0.0043401559457858,0.274838188409857,0.967895975246604
"07_BSRF_p",5,1.09079500298321,0.321824512472767,0.848391197914782
"07_BSUA_p",2,NA,NA,NA
"07_BSUB_p",6,3.53256713863865,0.750785140177253,0.887099753898514
"07_BSUC_p",9,1.96615865634593,0.519190076415672,0.619229969128324
"07_ZHRD_p",8,2.17280020317383,0.523822365678594,0.808666768501554
"07_ZHRE_p",2,NA,NA,NA
"07_ZHRF_p",1,NA,NA,NA
"07_ZHUA_p",4,0.569672826125239,0.500438761731222,0.569547571029198
"07_ZHUB_p",3,0.189435341166868,0.037810565708299,0.996078011431739
"07_ZHUC_p",1,NA,NA,NA
"08_1_BERD_p",2,NA,NA,NA
"08_2_BERD_p",1,NA,NA,NA
"08_BEUA_p",6,13.0986581232204,0.724980840157673,0.369456150044472
"08_BEUB_p",13,6.09134756415777,0.635148081151381,0.930077032574054
"08_BEUC_p",4,0.895863197550757,0.54921617062717,0.974795282610867
"08_BSRD_p",3,0.0590173443030782,0.497862466056437,0.990889626107089
"08_BSRE_p",2,NA,NA,NA
"08_BSRF_p",5,1.09079500298321,0.711732781947913,0.539260316745763
"08_BSUA_p",2,NA,NA,NA
"08_BSUB_p",4,3.3585867409816,0.398124231504004,0.910213671166789
"08_BSUC_p",7,2.10284839746462,0.514931961417392,0.968597867032826
"08_ZHRD_p",3,0.537975544598815,0.0921538037669725,0.994253984470287
"08_ZHRE_p",6,1.99997184159153,0.770398480384209,0.953231047061706
"08_ZHRF_p",2,NA,NA,NA
"08_ZHUA_p",10,1.88067943009471,0.630553282513345,0.696146556323206
"08_ZHUB_p",4,1.12206606217048,0.752034887861613,0.877292107518144
"08_ZHUC_p",1,NA,NA,NA
"09_1_BERD_p",1,NA,NA,NA
"09_2_BERD_p",3,1.10582690784008,0.231479100897772,0.982070245482029
"09_BEUA_p",4,3.3888575835885,0.253849487497806,0.968292666914749
"09_BEUB_p",4,1.09228581965793,0.500020755477247,0.930647118213646
"09_BEUC_p",2,NA,NA,NA
"09_BSRD_p",2,NA,NA,NA
"09_BSRE_p",2,NA,NA,NA
"09_BSRF_p",8,7.54096531909613,0.391031675369022,0.826529998808372
"09_BSUA_p",2,NA,NA,NA
"09_BSUB_p",4,1.97147500725704,0.341145443292683,0.73533834397089
"09_BSUC_p",6,2.10284839746462,0.451267371040784,0.89864210555806
"09_ZHRD_p",3,1.63529445403337,0.335860440312599,0.995451393791769
"09_ZHRE_p",2,NA,NA,NA
"09_ZHRF_p",1,NA,NA,NA
"09_ZHUA_p",2,NA,NA,NA
"09_ZHUB_p",9,4.12599016288865,0.554846983172385,0.793267746470594
"09_ZHUC_p",4,0.493313670872544,0.731320732426628,0.655841627962854
"10_1_BERD_p",1,NA,NA,NA
"10_2_BERD_p",2,NA,NA,NA
"10_BEUA_p",1,NA,NA,NA
"10_BEUB_p",8,10.9410753797709,0.487209113135278,0.619539923726665
"10_BEUC_p",4,0.555614307340829,0.349916576582209,0.974196336380822
"10_BSRD_p",1,NA,NA,NA
"10_BSRE_p",1,NA,NA,NA
"10_BSRF_p",3,0.544101398159486,0.403538255215129,0.930139891633624
"10_BSUA_p",8,2.35305998478761,0.561007057007171,0.743261726203557
"10_BSUB_p",3,0.0043401559457858,0.664862799156344,0.18482915898405
"10_BSUC_p",4,1.10697727124098,0.370052806594851,0.98263628359226
"10_ZHRD_p",4,3.36007755765632,0.335806766473915,0.639934745137414
"10_ZHRE_p",6,2.69505531511905,0.658151507852015,0.918738200652788
"10_ZHRF_p",1,NA,NA,NA
"10_ZHUA_p",5,0.723231364966443,0.157769641648733,0.992850410260181
"10_ZHUB_p",3,0.0218484107090768,0.488415552384045,0.965639763464016
"10_ZHUC_p",7,2.02598303956092,0.735642231089752,0.990851799746897
"11_1_BERD_p",1,NA,NA,NA
"11_2_BERD_p",1,NA,NA,NA
"11_BEUA_p",3,0.238430373404135,0.143143192546216,0.993289345842177
"11_BEUB_p",4,0.361244568432214,0.519481521494044,0.974965016058308
"11_BEUC_p",4,0.895863197550757,0.966618019189575,0.796098573460417
"11_BSRD_p",3,0.170412370147817,0.0726788498309439,0.994407981247013
"11_BSRE_p",2,NA,NA,NA
"11_BSRF_p",6,5.03782152707871,0.0675645922696482,0.573247987535863
"11_BSUA_p",5,0.893479457530683,0.336531253332278,0.858085033342552
"11_BSUB_p",2,NA,NA,NA
"11_BSUC_p",3,0.179044326581312,0.86814333336269,0.230668167158961
"11_ZHRD_p",5,6.50128784399207,0.611486452701215,0.971030575032085
"11_ZHRE_p",1,NA,NA,NA
"11_ZHRF_p",7,3.71749915554381,0.717253618810218,0.874823859636133
