"Achillea millefolium","Aconitum kusnezoffii","Aesculus parviflora","Agastache pallida","Agastache rugosa","Allium carinatum","Allium schoenoprasum","Amorpha fruticosa","Amorpha nana","Anemone hupehensis","Anemone tomentosa","Anthyllis vulneraria","Antirrhinum majus","Astragalus glycyphyllos","Begonia sp.","Bellis perennis","Boraginaceae sp.","Borago officinalis","Brassica rapa","Buddleja davidii","Calibrachoa elegans","Calystegia sepium","Campanula persicifolia","Campanula rapunculoides","Castanea sativa","Catalpa bignonioides","Centaurea cyanus","Centaurea montana","Centaurea scabiosa","Cephalanthus occidentalis","Chelidonium majus","Cichorium intybus","Clematis patens","Clematis sp.","Clinopodium vulgare","Coriandrum sativum","Crepis capillaris","Dasiphora fruticosa","Daucus carota","Dianthus armeria","Digitalis grandiflora","Digitalis lutea","Digitalis purpurea","Diplotaxis tenuifolia","Dipsacus fullonum","Echium vulgare","Eruca vesicaria","Foeniculum vulgare","Galega officinalis","Genista tinctoria","Gentiana macrophylla","Geum urbanum","Helianthus pauciflorus","Hibiscus syriacus","Hydrangea longipes","Hydrangea macrophylla","Hydrangea paniculata","Hydrangea quercifolia","Hypericum androsaemum","Hypericum calycinum","Hypericum myrtifolium","Hypericum perforatum","Hypericum scabrum","Hypochaeris radicata","Hyssopus officinalis","Impatiens balfourii","Impatiens glandulifera","Impatiens parviflora","Koelreuteria paniculata","Lamiaceae sp.","Lamium maculatum","Lathyrus pratensis","Lathyrus sativus","Lavandula angustifolia","Leontodon tingitanus","Leonurus cardiaca","Lespedeza thunbergii","Ligustrum ibota","Ligustrum ovalifolium","Linaria maroccana","Linaria purpurea","Linaria sp.","Linaria vulgaris","Lolium multiflorum","Lolium temulentum","Lonicera macranthoides","Lotus corniculatus","Lotus pedunculatus","Lotus sp.","Lysimachia vulgaris","Lythrum salicaria","Malva moschata","Malva sylvestris","Medicago lupulina","Medicago sativa","Melampyrum arvense","Melissa officinalis","Myosotis arvensis","Nepeta cataria","Nepeta racemosa","Nepeta saccharata","Nepeta sp.","Oenothera parviflora","Onobrychis viciifolia","Ononis natrix","Ononis spinosa","Origanum vulgare","Orobanche hederae","Oxalis corniculata","Petunia integrifolia","Phacelia tanacetifolia","Plantago lanceolata","Plantago major","Plantago media","Potentilla recta","Prunella vulgaris","Raphanus sativus","Rhinanthus alectorolophus","Robinia pseudoacacia","Rubus idaeus","Rubus plicatus","Salvia farinacea","Salvia nemorosa","Salvia pratensis","Scutellaria galericulata","Securigera varia","Sedum acre","Sedum aizoon","Sedum album","Sedum rupestre","Sedum spurium","Sedum telephium","Sempervivum montanum","Sideritis glacialis","Solanum dulcamara","Solanum lycopersicum","Solanum nigrum","Sonchus oleraceus","Spiraea japonica","Stachys officinalis","Stachys spinosa","Symphytum bulbosum","Symphytum officinale","Tagetes erecta","Tagetes tenuifolia","Tetradium glabrifolium","Teucrium botrys","Teucrium chamaedrys","Teucrium hircanicum","Teucrium scorodonia","Tilia dasystyla","Tilia hyrcana","Tilia oliveri","Trifolium alpestre","Trifolium hybridum","Trifolium ochroleucon","Trifolium pratense","Trifolium repens","Trifolium rubens","Trifolium sp.","Urtica dioica","Verbascum nigrum","Verbascum thapsus","Veronica spicata","Vicia cracca","Vicia sativa","Vicia sepium","Vitex negundo","xChitalpa tashkentensis","Zinnia elegans"
"01_1_BERD_p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0526357563330908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947364243666909,0,0,0,0,0,0,0,0,0,0,0,0,0
"01_2_BERD_p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0525877010157742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947412298984226,0,0,0,0,0,0,0,0,0,0,0,0,0
"01_BEUA_p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84428587580558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0567078303036394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0990062938907803,0,0,0,0,0,0,0,0,0,0,0,0,0
"01_BEUB_p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0290656482745511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010765694931656,0.960168656793793,0,0,0,0,0,0,0,0,0,0,0,0
"01_BEUC_p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0526001501399031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233569917423054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0708728588002456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816761072817853,0.0364089264996929,0,0,0,0,0,0,0,0,0,0,0,0
"01_BSRD_p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263497489779706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175485786946757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.956101672327354,0,0,0,0,0,0,0,0,0,0,0,0,0
"01_BSRE_p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154242079709922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054020833973512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099698859969886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69203822634668,0,0,0,0,0,0,0,0,0,0,0,0,0
"01_BSRF_p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"01_BSUA_p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00944119220968412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.982985658959018,0.00757314883129745,0,0,0,0,0,0,0,0,0,0,0,0
"01_BSUB_p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248827568884747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00546406854381423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040398877031964,0.929254297535747,0,0,0,0,0,0,0,0,0,0,0,0
