gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3960283377,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10459017505,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Saponaria,Saponaria officinalis,,SPECIES,Saponaria officinalis L.,Saponaria officinalis L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.513538,7.91026,8,,523.53,0,,,22.08.21 10:57,22,8,2021,3085360,3085360,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:59,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960232149,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10632409918,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera,Lonicera xylosteum,,SPECIES,Lonicera xylosteum L.,Lonicera xylosteum L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.533445,7.924137,15,,493.11,0,,,25.06.22 09:25,25,6,2022,5334259,5334259,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 01:07,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960067619,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10594047701,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Melittis,Melittis melissophyllum,,SPECIES,Melittis melissophyllum L.,Melittis melissophyllum L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.511825,7.926683,5,,479.51,0,,,21.05.22 15:53,21,5,2022,8105693,8105693,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:48,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960049092,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10567173763,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Alliaria,Alliaria petiolata,,SPECIES,Alliaria petiolata (M.Bieb.) Cavara & Grande,Alliaria petiolata (M.Bieb.) Cavara & Grande,(M.Bieb.) Cavara & Grande,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.52608,7.899622,18,,381.01,0,,,28.04.22 17:58,28,4,2022,5376075,5376075,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 01:01,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959961497,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10347165134,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Aegopodium,Aegopodium podagraria,,SPECIES,Aegopodium podagraria L.,Aegopodium podagraria L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.50897,7.915853,6,,475.71,0,,,09.05.21 11:17,9,5,2021,3034620,3034620,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:58,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959950606,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10613479493,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Agrostemma,Agrostemma githago,,SPECIES,Agrostemma githago L.,Agrostemma githago L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.523143,7.921708,22,,568.29,0,,,06.06.22 11:20,6,6,2022,3085368,3085368,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 01:04,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959945029,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10598497633,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ophrys,Ophrys apifera,,SPECIES,Ophrys apifera Huds.,Ophrys apifera Huds.,Huds.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.528749,7.898477,4,,426.49,0,,,25.05.22 08:52,25,5,2022,2792998,2792998,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 01:02,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959920209,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10420274821,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Cardamine,Cardamine heptaphylla,,SPECIES,Cardamine heptaphylla (L.) O.E.Schulz,Cardamine heptaphylla (Vill.) O.E.Schulz,(Vill.) O.E.Schulz,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.523171,7.934548,61,,445.52,0,,,07.07.21 11:35,7,7,2021,3045634,3045634,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 01:04,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959861667,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10411772408,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lathyrus,Lathyrus vernus,,SPECIES,Lathyrus vernus (L.) Bernh.,Lathyrus vernus (L.) Bernh.,(L.) Bernh.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.534103,7.92162,32,,455.15,0,,,30.06.21 13:17,30,6,2021,5356704,5356704,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:59,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959824531,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10571362302,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Pilosella,Pilosella officinarum,,SPECIES,"Pilosella officinarum F.W.Schultz & Sch.Bip., 1862",Pilosella officinarum F.W.Schultz & Sch.Bip.,F.W.Schultz & Sch.Bip.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.520026,7.910824,46,,396.85,0,,,02.05.22 09:07,2,5,2022,7874303,7874303,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:50,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
