gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3960207730,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10393600818,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Aruncus,Aruncus dioicus,,SPECIES,Aruncus dioicus (Walter) Fernald,Aruncus dioicus (Walter) Fernald,(Walter) Fernald,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.505706,7.912066,10,,485.04,0,,,16.06.21 18:48,16,6,2021,5362136,5362136,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:45,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959852780,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10599457177,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Stachys,Stachys sylvatica,,SPECIES,Stachys sylvatica L.,Stachys sylvatica L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.505929,7.913859,64,,524.86,0,,,26.05.22 07:36,26,5,2022,2927282,2927282,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:48,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959738421,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10436706183,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,Lythrum,Lythrum salicaria,,SPECIES,Lythrum salicaria L.,Lythrum salicaria L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.497591,7.905305,5,,628.92,0,,,25.07.21 14:31,25,7,2021,3188736,3188736,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:59,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959405491,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10632013607,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea ptarmica,,SPECIES,Achillea ptarmica L.,Achillea ptarmica L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.497596,7.909806,48,,585,0,,,24.06.22 17:36,24,6,2022,3120333,3120333,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 01:08,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959378891,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10313259788,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tussilago,Tussilago farfara,,SPECIES,Tussilago farfara L.,Tussilago farfara L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.494836,7.910961,16,,535.29,0,,,25.03.21 08:45,25,3,2021,3149879,3149879,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:57,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959373316,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10625524778,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tanacetum,Tanacetum parthenium,,SPECIES,Tanacetum parthenium (L.) Sch.Bip.,Tanacetum parthenium (L.) Sch.Bip.,(L.) Sch.Bip.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.497946,7.934385,65,,445.8,0,,,17.06.22 17:51,17,6,2022,3118430,3118430,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:50,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959354878,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10290772201,Plantae,Tracheophyta,Magnoliopsida,Malvales,Thymelaeaceae,Daphne,Daphne mezereum,,SPECIES,Daphne mezereum L.,Daphne mezereum L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.485956,7.925459,12,,648.36,0,,,01.01.21 13:56,1,1,2021,5420852,5420852,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:43,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959250346,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10542686985,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Petasites,Petasites albus,,SPECIES,Petasites albus (L.) Gaertn.,Petasites albus (L.) Gaertn.,(L.) Gaertn.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.48524,7.923383,8,,619.95,0,,,26.03.22 16:06,26,3,2022,7749287,7749287,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:47,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959157754,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10251205201,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Aster,Aster amellus,,SPECIES,Aster amellus L.,Aster amellus L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.503666,7.93008,,,,,,,09.09.20 08:17,9,9,2020,8133114,8133114,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:43,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959131176,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10335871348,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Alliaria,Alliaria petiolata,,SPECIES,Alliaria petiolata (M.Bieb.) Cavara & Grande,Alliaria petiolata (M.Bieb.) Cavara & Grande,(M.Bieb.) Cavara & Grande,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.484269,7.91558,12,,620.62,0,,,27.04.21 11:00,27,4,2021,5376075,5376075,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:57,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
