gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3960261859,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10481778313,Plantae,Tracheophyta,Magnoliopsida,Cornales,Cornaceae,Cornus,Cornus sanguinea,,SPECIES,Cornus sanguinea L.,Cornus sanguinea L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.601658,8.765381,4,,531.47,0,,,25.09.21 11:22,25,9,2021,3082234,3082234,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 01:04,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960078620,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10642356091,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium oleraceum,,SPECIES,Cirsium oleraceum (L.) Scop.,Cirsium oleraceum (L.) Scop.,(L.) Scop.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.604611,8.773533,19,,424.89,0,,,06.07.22 08:58,6,7,2022,3113650,3113650,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:49,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959948843,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10617815008,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Erigeron,Erigeron annuus,,SPECIES,Erigeron annuus (L.) Desf,Erigeron annuus (L.) Desf.,(L.) Desf.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.595816,8.782085,21,,439.44,0,,,10.06.22 14:04,10,6,2022,8392258,3117449,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 01:04,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959923553,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10484907622,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium vulgare,,SPECIES,Cirsium vulgare (Savi) Ten.,Cirsium vulgare (Savi) Ten.,(Savi) Ten.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.595893,8.781865,65,,444.44,0,,,30.09.21 08:16,30,9,2021,3112801,3112801,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:47,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959728889,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10631589921,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Kickxia,Kickxia spuria,,SPECIES,Kickxia spuria (L.) Dumort.,Kickxia spuria (L.) Dumort.,(L.) Dumort.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.608064,8.766614,35,,488.69,0,,,24.06.22 09:29,24,6,2022,3170817,3170817,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 01:03,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959516550,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10578419979,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Phyteuma,Phyteuma spicatum,,SPECIES,Phyteuma spicatum L.,Phyteuma spicatum L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.596337,8.792791,4,,559.61,0,,,08.05.22 13:12,8,5,2022,3166841,3166841,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:48,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959407350,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10645343623,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus laurocerasus,,SPECIES,Prunus laurocerasus L.,Prunus laurocerasus L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.605309,8.767085,38,,465.56,0,,,09.07.22 17:46,9,7,2022,3021496,3021496,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:49,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959401602,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10559906527,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Berberidaceae,Berberis,Berberis vulgaris,,SPECIES,Berberis vulgaris L.,Berberis vulgaris L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.60167,8.766168,26,,510,0,,,21.04.22 08:32,21,4,2022,3033894,3033894,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:47,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3958299213,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10585250007,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Melittis,Melittis melissophyllum,,SPECIES,Melittis melissophyllum L.,Melittis melissophyllum L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.603813,8.775783,5600,,440.74,0,,,14.05.22 11:28,14,5,2022,8105693,8105693,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 01:03,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3958292075,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10220980775,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Potentilla,Potentilla reptans,,SPECIES,Potentilla reptans L.,Potentilla reptans L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.595831,8.781701,10,,440.21,0,,,20.07.20 07:09,20,7,2020,5367273,5367273,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:41,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3958194529,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10211854636,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Datura,Datura stramonium,,SPECIES,Datura stramonium L.,Datura stramonium L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.605825,8.766087,55,,519,0,,,07.07.20 17:57,7,7,2020,2928751,2928751,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:56,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3958183414,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10094765313,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Erigeron,Erigeron annuus,,SPECIES,Erigeron annuus (L.) Desf,Erigeron annuus (L.) Desf.,(L.) Desf.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.606704,8.7703,65,,442.08,0,,,14.07.19 14:54,14,7,2019,8392258,3117449,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:39,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3958094576,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10468057572,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Campanula,Campanula trachelium,,SPECIES,Campanula trachelium L.,Campanula trachelium L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.612033,8.778619,6,,534,0,,,04.09.21 13:39,4,9,2021,5412014,5412014,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:59,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3958053388,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10180798198,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Aruncus,Aruncus dioicus,,SPECIES,Aruncus dioicus (Walter) Fernald,Aruncus dioicus (Walter) Fernald,(Walter) Fernald,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.605417,8.770058,31,,464.5,0,,,30.05.20 17:45,30,5,2020,5362136,5362136,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:42,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3957685009,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10356819580,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Aubrieta,Aubrieta deltoidea,,SPECIES,Aubrieta deltoidea (L.) DC.,Aubrieta deltoidea (L.) DC.,(L.) DC.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.59565,8.788911,,,,,,,17.05.21 15:47,17,5,2021,3054117,3054117,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:44,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3957619340,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10546916731,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia helioscopia,,SPECIES,Euphorbia helioscopia L.,Euphorbia helioscopia L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.592519,8.783158,7,,452.39,0,,,03.04.22 12:30,3,4,2022,3066367,3066367,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:47,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3957609248,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10640272798,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Filipendula,Filipendula ulmaria,,SPECIES,Filipendula ulmaria (L.) Maxim.,Filipendula ulmaria (L.) Maxim.,(L.) Maxim.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.605701,8.771159,5,,471.93,0,,,03.07.22 16:59,3,7,2022,2987999,2987999,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 01:04,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3957442810,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10443120495,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Clematis,Clematis vitalba,,SPECIES,Clematis vitalba L.,Clematis vitalba L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.602281,8.795661,65,,443.64,0,,,02.08.21 11:40,2,8,2021,3033558,3033558,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:58,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3956903308,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10152868887,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Alliaria,Alliaria petiolata,,SPECIES,Alliaria petiolata (M.Bieb.) Cavara & Grande,Alliaria petiolata (M.Bieb.) Cavara & Grande,(M.Bieb.) Cavara & Grande,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.592697,8.771118,8,,371.28,0,,,26.04.20 14:27,26,4,2020,5376075,5376075,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:40,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3956864795,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10434965624,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Triticum,Triticum aestivum,,SPECIES,Triticum aestivum L.,Triticum aestivum L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.597604,8.793037,4,,546.09,0,,,23.07.21 17:40,23,7,2021,7795888,7795888,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:58,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3956841874,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10326092024,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Capsella,Capsella bursa-pastoris,,SPECIES,Capsella bursa-pastoris (L.) Medik.,Capsella bursa-pastoris (L.) Medik.,(L.) Medik.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.600706,8.766753,5,,534.02,0,,,15.04.21 16:34,15,4,2021,5375388,5375388,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:43,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3956563173,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10388428846,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,Fraxinus excelsior,,SPECIES,Fraxinus excelsior L.,Fraxinus excelsior L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.607495,8.787005,7,,478.65,0,,,13.06.21 08:36,13,6,2021,3172358,3172358,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:58,,COUNTRY_DERIVED_FROM_COORDINATES
3956476921,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10143832259,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus padus,,SPECIES,Prunus padus L.,Prunus padus L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.59,8.779167,,,413,0,,,11.04.20 11:27,11,4,2020,3021037,3021037,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:41,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3956467334,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10089364083,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Helleborus,Helleborus niger,,SPECIES,Helleborus niger L.,Helleborus niger L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.595993,8.78215,65,,442.38,0,,,23.06.19 16:08,23,6,2019,3033107,3033107,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:52,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3956463973,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10434964258,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Triticum,Triticum aestivum,,SPECIES,Triticum aestivum L.,Triticum aestivum L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.597744,8.793009,6,,491.57,0,,,23.07.21 17:38,23,7,2021,7795888,7795888,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 01:00,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
