In.Buffer.1500,Taxon.ID,Gruppe,Trivialname,Taxon,Link.zum.Taxon,Gemeinde.n.,Kanton.e.,Fundort,Höhe,Koordx,Koordy,Radius,Räumliche.Zusammenfassung,Anzahl,n.Nachweise,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,Beobachter.in..Sammler.in,ID.Beobachtung,Rote.Liste,Priorität.CH,UZL,WZL,Massnahmebedarf,Monitoring.Bedarf,NHV,SMARAGD,infoflora..Kantonaler.Schutzstatus,infoflora..Rote.Liste.regional,Habitat,Substrat,swisslichens..Ecotyp,Ordnung,Familie,swissfungi..funktionelle.Gruppe,Indigenat.CH,Standortfremd,Einführung
x,infoflora:100,Gefässpflanzen,Tanne,Abies alba Mill.,www.infoflora.ch/flora/1000000,Hellikon,AG,,,2635500,1262500,707,B,,NA,2004,5,6,NA,BAFU / OFEV / UFAM,Kradolfer Ursula,1082340,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Pinaceae,NA,INN,NA,
x,infoflora:100,Gefässpflanzen,Tanne,Abies alba Mill.,www.infoflora.ch/flora/1000000,Hellikon,AG,,,2635500,1262500,707,B,,NA,2009,5,18,NA,BAFU / OFEV / UFAM,Knecht Daniel,3532996,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Pinaceae,NA,INN,NA,
x,infoflora:100,Gefässpflanzen,Tanne,Abies alba Mill.,www.infoflora.ch/flora/1000000,Hellikon,AG,,,2635500,1262500,707,B,,NA,2014,5,2,NA,BAFU / OFEV / UFAM,Breunig Thomas,5061788,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Pinaceae,NA,INN,NA,
x,infoflora:100,Gefässpflanzen,Tanne,Abies alba Mill.,www.infoflora.ch/flora/1000000,Hellikon,AG,,,2635500,1262500,707,B,,NA,2019,8,1,NA,BAFU / OFEV / UFAM,Stalling Thomas,9947988,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Pinaceae,NA,INN,NA,
x,infoflora:100,Gefässpflanzen,Tanne,Abies alba Mill.,www.infoflora.ch/flora/1000000,Hellikon,AG,,,2635500,1261500,707,B,,NA,2019,5,9,NA,BAFU / OFEV / UFAM,Stalling Thomas,9947987,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Pinaceae,NA,INN,NA,
x,infoflora:300,Gefässpflanzen,Feld-Ahorn,Acer campestre L.,www.infoflora.ch/flora/1000070,Hellikon,AG,,,2635500,1262500,707,B,,NA,2004,5,6,NA,BAFU / OFEV / UFAM,Kradolfer Ursula,1082341,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Sapindaceae,NA,INN,NA,
x,infoflora:300,Gefässpflanzen,Feld-Ahorn,Acer campestre L.,www.infoflora.ch/flora/1000070,Hellikon,AG,,,2635500,1262500,707,B,,NA,2009,5,18,NA,BAFU / OFEV / UFAM,Knecht Daniel,3532997,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Sapindaceae,NA,INN,NA,
x,infoflora:300,Gefässpflanzen,Feld-Ahorn,Acer campestre L.,www.infoflora.ch/flora/1000070,Hellikon,AG,,,2635500,1262500,707,B,,NA,2014,5,2,NA,BAFU / OFEV / UFAM,Breunig Thomas,5061910,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Sapindaceae,NA,INN,NA,
x,infoflora:300,Gefässpflanzen,Feld-Ahorn,Acer campestre L.,www.infoflora.ch/flora/1000070,Hellikon,AG,,,2635500,1262500,707,B,,NA,2019,5,9,NA,BAFU / OFEV / UFAM,Stalling Thomas,9948172,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Sapindaceae,NA,INN,NA,
x,infoflora:300,Gefässpflanzen,Feld-Ahorn,Acer campestre L.,www.infoflora.ch/flora/1000070,Hellikon,AG,,,2635500,1262500,707,B,,NA,2019,8,1,NA,BAFU / OFEV / UFAM,Stalling Thomas,9948173,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Sapindaceae,NA,INN,NA,
