In.Buffer.1500,Taxon.ID,Gruppe,Trivialname,Taxon,Link.zum.Taxon,Gemeinde.n.,Kanton.e.,Fundort,Höhe,Koordx,Koordy,Radius,Räumliche.Zusammenfassung,Anzahl,n.Nachweise,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,Beobachter.in..Sammler.in,ID.Beobachtung,Rote.Liste,Priorität.CH,UZL,WZL,Massnahmebedarf,Monitoring.Bedarf,NHV,SMARAGD,infoflora..Kantonaler.Schutzstatus,infoflora..Rote.Liste.regional,Habitat,Substrat,swisslichens..Ecotyp,Ordnung,Familie,swissfungi..funktionelle.Gruppe,Indigenat.CH,Standortfremd,Einführung
x,infoflora:100,Gefässpflanzen,Tanne,Abies alba Mill.,www.infoflora.ch/flora/1000000,Basel,BS,,250-260,2611587,1267395,6,A,,NA,2021,7,28,NA,"Flora beider Basel, Ramon Müller",Müller Ramon,10590854,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Pinaceae,NA,INN,NA,
x,infoflora:150,Gefässpflanzen,Chinesische Samtpappel,Abutilon theophrasti Medik.,www.infoflora.ch/flora/1000020,Basel,BS,Baustelle Park South,256-257,2610768,1268978,25,A,1–10 (Individuen),NA,2015,9,NA,NA,"Info Flora, Martin Frei",Frei Martin,4913101,,,,,NA,NA,,NA,,,,NA,NA,NA,Malvaceae,NA,NLI,1,
x,infoflora:300,Gefässpflanzen,Feld-Ahorn,Acer campestre L.,www.infoflora.ch/flora/1000070,Basel,BS,"Auberg, nordostexp. Böschung. Einzelbaeume, Alleen, Baumhaine. Hauptnutzung: Strassenraum.",271-276,2611033,1266834,73,A,Bestandesklasse: klein,NA,2008,5,30,NA,Kanton Basel Stadt (Naturinventar),Frei Martin,4158720,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Sapindaceae,NA,INN,NA,
x,infoflora:300,Gefässpflanzen,Feld-Ahorn,Acer campestre L.,www.infoflora.ch/flora/1000070,Basel,BS,"Birsig Dorenbachviadukt- Elsässerbahn. Einzelbaeume, Alleen, Baumhaine. Hauptnutzung: oeffentliche Parks, Anlagen, Friedhoefe.",268-270,2610509,1266034,87,A,Bestandesklasse: mittel,NA,2008,5,2,NA,Kanton Basel Stadt (Naturinventar),Frei Martin,4150040,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Sapindaceae,NA,INN,NA,
x,infoflora:300,Gefässpflanzen,Feld-Ahorn,Acer campestre L.,www.infoflora.ch/flora/1000070,Basel,BS,"Castellio-Weglein. Einzelbaeume, Alleen, Baumhaine. Hauptnutzung: oeffentliche Parks, Anlagen, Friedhoefe.",256-270,2612160,1267093,61,A,Bestandesklasse: klein,NA,2008,5,10,NA,Kanton Basel Stadt (Naturinventar),Frei Martin,4150291,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Sapindaceae,NA,INN,NA,
x,infoflora:300,Gefässpflanzen,Feld-Ahorn,Acer campestre L.,www.infoflora.ch/flora/1000070,Basel,BS,"Antilopenweg. Einzelbaeume, Alleen, Baumhaine. Hauptnutzung: Strassenraum.",274-276,2610801,1266631,60,A,Bestandesklasse: mittel,NA,2008,5,13,NA,Kanton Basel Stadt (Naturinventar),Frei Martin,4158682,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Sapindaceae,NA,INN,NA,
x,infoflora:300,Gefässpflanzen,Feld-Ahorn,Acer campestre L.,www.infoflora.ch/flora/1000070,Basel,BS,"Nachtigallenwäldchen West. Einzelbaeume, Alleen, Baumhaine. Hauptnutzung: oeffentliche Parks, Anlagen, Friedhoefe.",268-269,2610862,1266522,52,A,Bestandesklasse: klein,NA,2008,5,13,NA,Kanton Basel Stadt (Naturinventar),Frei Martin,4150613,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Sapindaceae,NA,INN,NA,
x,infoflora:300,Gefässpflanzen,Feld-Ahorn,Acer campestre L.,www.infoflora.ch/flora/1000070,Basel,BS,"Nachtigallenwäldchen Ost. Einzelbaeume, Alleen, Baumhaine. Hauptnutzung: oeffentliche Parks, Anlagen, Friedhoefe.",268-270,2610990,1266638,135,A,Bestandesklasse: klein,NA,2008,5,13,NA,Kanton Basel Stadt (Naturinventar),Frei Martin,4150586,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Sapindaceae,NA,INN,NA,
x,infoflora:300,Gefässpflanzen,Feld-Ahorn,Acer campestre L.,www.infoflora.ch/flora/1000070,Basel,BS,"Höhenweg/Margarethenstrasse. Wiesen, Weiden, Scherrasen. Hauptnutzung: Bahnareale.",279-280,2610941,1266308,41,A,Bestandesklasse: klein,NA,2008,6,20,NA,Kanton Basel Stadt (Naturinventar),Frei Martin,4158333,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Sapindaceae,NA,INN,NA,
x,infoflora:300,Gefässpflanzen,Feld-Ahorn,Acer campestre L.,www.infoflora.ch/flora/1000070,Basel,BS,"Pruntrutermatte. Einzelbaeume, Alleen, Baumhaine. Hauptnutzung: Sport-, Schul- und Freizeitanlagen.",279-283,2610656,1265986,120,A,Bestandesklasse: klein,NA,2008,5,10,NA,Kanton Basel Stadt (Naturinventar),Frei Martin,4158605,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Sapindaceae,NA,INN,NA,
x,infoflora:300,Gefässpflanzen,Feld-Ahorn,Acer campestre L.,www.infoflora.ch/flora/1000070,Basel,BS,"Waaghof / Viadukstr.. Wiesen, Weiden, Scherrasen. Hauptnutzung: Blockbebauungen, Reihenhaeuser.",270-274,2611041,1266563,35,A,Bestandesklasse: klein,NA,2008,6,6,NA,Kanton Basel Stadt (Naturinventar),Frei Martin,4150017,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Sapindaceae,NA,INN,NA,
x,infoflora:300,Gefässpflanzen,Feld-Ahorn,Acer campestre L.,www.infoflora.ch/flora/1000070,Basel,BS,"Binningerstrasse Tramtrassee / Fussweg. Wiesen, Weiden, Scherrasen. Hauptnutzung: Strassenraum.",268-272,2610712,1266308,256,A,Bestandesklasse: mittel,NA,2009,5,7,NA,Kanton Basel Stadt (Naturinventar),Frei Martin,4160073,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Sapindaceae,NA,INN,NA,
x,infoflora:300,Gefässpflanzen,Feld-Ahorn,Acer campestre L.,www.infoflora.ch/flora/1000070,Basel,BS,,295,2609219,1266109,65,A,,NA,2019,4,28,NA,Info Flora,Anonym.,12262022,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Sapindaceae,NA,INN,NA,
x,infoflora:300,Gefässpflanzen,Feld-Ahorn,Acer campestre L.,www.infoflora.ch/flora/1000070,Basel,BS,,263,2610116,1268706,3,A,,NA,2019,8,31,NA,Missions inventaire,de Witte Lucienne,8802533,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Sapindaceae,NA,INN,NA,
