In.Buffer.1500,Taxon.ID,Gruppe,Trivialname,Taxon,Link.zum.Taxon,Gemeinde.n.,Kanton.e.,Fundort,Höhe,Koordx,Koordy,Radius,Räumliche.Zusammenfassung,Anzahl,n.Nachweise,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,Beobachter.in..Sammler.in,ID.Beobachtung,Rote.Liste,Priorität.CH,UZL,WZL,Massnahmebedarf,Monitoring.Bedarf,NHV,SMARAGD,infoflora..Kantonaler.Schutzstatus,infoflora..Rote.Liste.regional,Habitat,Substrat,swisslichens..Ecotyp,Ordnung,Familie,swissfungi..funktionelle.Gruppe,Indigenat.CH,Standortfremd,Einführung
x,infoflora:100,Gefässpflanzen,Tanne,Abies alba Mill.,www.infoflora.ch/flora/1000000,Rickenbach (ZH),ZH,702000/269000,455,2702000,1269000,50,A,,NA,1994,5,17,NA,Kanton Zürich,?,3102571,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Pinaceae,NA,INN,NA,
x,infoflora:100,Gefässpflanzen,Tanne,Abies alba Mill.,www.infoflora.ch/flora/1000000,Indéterminé (ZH),ZH,,398-418,2703500,1268500,707,A,,NA,2013,NA,NA,NA,Flora des Kantons Zürich,?,3958861,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Pinaceae,NA,INN,NA,
x,infoflora:300,Gefässpflanzen,Feld-Ahorn,Acer campestre L.,www.infoflora.ch/flora/1000070,Ellikon an der Thur,ZH,"Uesslingen-Buch. Uesslingen, Mittelwiide, Weidacker. Kiesgrube",376,2703000,1269000,1000,A,,NA,1991,9,29,NA,Naturmuseum Thurgau,Grädel,6492515,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Sapindaceae,NA,INN,NA,
x,infoflora:300,Gefässpflanzen,Feld-Ahorn,Acer campestre L.,www.infoflora.ch/flora/1000070,Indéterminé (ZH),ZH,,398-418,2703500,1268500,707,A,,NA,2013,NA,NA,NA,Flora des Kantons Zürich,?,3958862,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Sapindaceae,NA,INN,NA,
x,infoflora:700,Gefässpflanzen,Spitz-Ahorn,Acer platanoides L.,www.infoflora.ch/flora/1000120,Rickenbach (ZH),ZH,702000/269000,455,2702000,1269000,50,A,,NA,1994,5,17,NA,Kanton Zürich,?,3166536,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Sapindaceae,NA,INN,NA,
x,infoflora:700,Gefässpflanzen,Spitz-Ahorn,Acer platanoides L.,www.infoflora.ch/flora/1000120,Indéterminé (ZH),ZH,,398-418,2703500,1268500,707,A,,NA,2016,NA,NA,NA,Flora des Kantons Zürich,Baumann Sophie,3958863,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Sapindaceae,NA,INN,NA,
x,infoflora:800,Gefässpflanzen,Berg-Ahorn,Acer pseudoplatanus L.,www.infoflora.ch/flora/1000130,Altikon,ZH,"Uesslingen-Buch. Thur S, östlich Uesslingerbrücke. Flussdamm",380,2703000,1270000,1000,A,,NA,1991,10,16,NA,Naturmuseum Thurgau,Grädel,6480096,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Sapindaceae,NA,INN,NA,
x,infoflora:800,Gefässpflanzen,Berg-Ahorn,Acer pseudoplatanus L.,www.infoflora.ch/flora/1000130,Rickenbach (ZH),ZH,702000/269000,455,2702000,1269000,50,A,,NA,1994,5,17,NA,Kanton Zürich,?,3127653,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Sapindaceae,NA,INN,NA,
x,infoflora:800,Gefässpflanzen,Berg-Ahorn,Acer pseudoplatanus L.,www.infoflora.ch/flora/1000130,Indéterminé (ZH),ZH,,398-418,2703500,1268500,707,A,,NA,2013,NA,NA,NA,Flora des Kantons Zürich,?,3958864,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Sapindaceae,NA,INN,NA,
x,infoflora:1706,Gefässpflanzen,Wiesen-Schafgarbe,Achillea millefolium aggr.,www.infoflora.ch/flora/1000320,Indéterminé (ZH),ZH,,398-418,2703500,1268500,707,A,,NA,2013,NA,NA,NA,Flora des Kantons Zürich,?,3958865,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Asteraceae,NA,INN,NA,
x,infoflora:3530,Gefässpflanzen,Gewöhnlicher Gelb-Eisenhut,Aconitum lycoctonum subsp. vulparia (Rchb.) Nyman,www.infoflora.ch/flora/1000545,Indéterminé (ZH),ZH,,410,2703300,1268890,10,A,,NA,2011,6,16,NA,Flora des Kantons Zürich,?,3997800,LC,,,,NA,NA,,NA,Teilweise geschützt,NT,TypoCH 6 : Wälder,NA,NA,NA,Ranunculaceae,NA,INN,NA,
x,infoflora:3530,Gefässpflanzen,Gewöhnlicher Gelb-Eisenhut,Aconitum lycoctonum subsp. vulparia (Rchb.) Nyman,www.infoflora.ch/flora/1000545,Indéterminé (ZH),ZH,,410-411,2703325,1268850,10,A,,NA,2011,6,14,NA,Flora des Kantons Zürich,?,4000525,LC,,,,NA,NA,,NA,Teilweise geschützt,NT,TypoCH 6 : Wälder,NA,NA,NA,Ranunculaceae,NA,INN,NA,
x,infoflora:3530,Gefässpflanzen,Gewöhnlicher Gelb-Eisenhut,Aconitum lycoctonum subsp. vulparia (Rchb.) Nyman,www.infoflora.ch/flora/1000545,Indéterminé (ZH),ZH,,398-418,2703500,1268500,707,A,,NA,2013,NA,NA,NA,Flora des Kantons Zürich,?,3958866,LC,,,,NA,NA,,NA,Teilweise geschützt,NT,,NA,NA,NA,Ranunculaceae,NA,INN,NA,
x,infoflora:5200,Gefässpflanzen,Christophskraut,Actaea spicata L.,www.infoflora.ch/flora/1000730,Indéterminé (ZH),ZH,,398-418,2703500,1268500,707,A,,NA,2013,NA,NA,NA,Flora des Kantons Zürich,?,3958867,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Ranunculaceae,NA,INN,NA,
