In.Buffer.1500,Taxon.ID,Gruppe,Trivialname,Taxon,Link.zum.Taxon,Gemeinde.n.,Kanton.e.,Fundort,Höhe,Koordx,Koordy,Radius,Räumliche.Zusammenfassung,Anzahl,n.Nachweise,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,Beobachter.in..Sammler.in,ID.Beobachtung,Rote.Liste,Priorität.CH,UZL,WZL,Massnahmebedarf,Monitoring.Bedarf,NHV,SMARAGD,infoflora..Kantonaler.Schutzstatus,infoflora..Rote.Liste.regional,Habitat,Substrat,swisslichens..Ecotyp,Ordnung,Familie,swissfungi..funktionelle.Gruppe,Indigenat.CH,Standortfremd,Einführung
x,infoflora:100,Gefässpflanzen,Tanne,Abies alba Mill.,www.infoflora.ch/flora/1000000,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285275,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Pinaceae,NA,INN,NA,
x,infoflora:300,Gefässpflanzen,Feld-Ahorn,Acer campestre L.,www.infoflora.ch/flora/1000070,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285276,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Sapindaceae,NA,INN,NA,
x,infoflora:800,Gefässpflanzen,Berg-Ahorn,Acer pseudoplatanus L.,www.infoflora.ch/flora/1000130,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285277,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Sapindaceae,NA,INN,NA,
x,infoflora:800,Gefässpflanzen,Berg-Ahorn,Acer pseudoplatanus L.,www.infoflora.ch/flora/1000130,Frauenfeld,TG,Wuer,381,2705803,1270494,2,A,,NA,2015,5,18,NA,BAFU / OFEV / UFAM,Küchler Helen,7840600,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Sapindaceae,NA,INN,NA,
x,infoflora:1706,Gefässpflanzen,Wiesen-Schafgarbe,Achillea millefolium aggr.,www.infoflora.ch/flora/1000320,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285278,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Asteraceae,NA,INN,NA,
x,infoflora:6800,Gefässpflanzen,Geissfuss,Aegopodium podagraria L.,www.infoflora.ch/flora/1000930,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285279,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Apiaceae,NA,INN,NA,
x,infoflora:6800,Gefässpflanzen,Geissfuss,Aegopodium podagraria L.,www.infoflora.ch/flora/1000930,Frauenfeld,TG,Wuer,381,2705803,1270494,2,A,,NA,2015,5,18,NA,BAFU / OFEV / UFAM,Küchler Helen,7840630,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Apiaceae,NA,INN,NA,
x,infoflora:6900,Gefässpflanzen,Rosskastanie,Aesculus hippocastanum L.,www.infoflora.ch/flora/1000940,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285519,,,,,NA,NA,,NA,,,,NA,NA,NA,Sapindaceae,NA,NEO,1,
x,infoflora:7200,Gefässpflanzen,Hundspetersilie,Aethusa cynapium L.,www.infoflora.ch/flora/1000990,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285280,LC,K,L,,NA,NA,,NA,,LC,,NA,NA,NA,Apiaceae,NA,INN,NA,
x,infoflora:7400,Gefässpflanzen,Kleiner Odermennig,Agrimonia eupatoria L.,www.infoflora.ch/flora/1001010,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285281,LC,K,L,,NA,NA,,NA,,LC,,NA,NA,NA,Rosaceae,NA,INN,NA,
